StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,participant_id,Q11,mem_total_1,mem_positions_1,mem_positions_2,mem_positions_3,mem_positions_4,mem_positions_5,mem_positions_6,mem_positions_7,mem_positions_8,mem_positions_9,mem_positions_10,mem_intrusions_1,mem_strategy,mem_list_side,pid,lab,word,music
2026-01-15 10:57:25,2026-01-15 10:59:09,0,158.223.122.138,100,104,1,2026-01-15 10:59:09,R_8EYZvQXntnxZMbN,,,,,51.4781,-0.0279,qr,EN,B2,2,6,1,1,1,2,2,2,2,2,2,2,0,"Visualise the words as the specific objects, only worked for the first 3 words",2,,,,
2026-01-15 10:57:38,2026-01-15 11:00:06,0,158.223.122.189,100,148,1,2026-01-15 11:00:06,R_8cmpr9jc1a0Yykh,,,,,51.4781,-0.0279,qr,EN,B7,2,10,1,1,1,1,1,1,1,1,1,1,0,i made associations between the words in my head,1,,,,
2026-01-15 10:58:16,2026-01-15 11:00:15,0,158.223.122.203,100,119,1,2026-01-15 11:00:15,R_8jga9YBYq4faNOh,,,,,51.4781,-0.0279,qr,EN,B6,2,8,1,1,3,3,3,3,3,3,2,2,0,,1,,,,
2026-01-15 10:57:54,2026-01-15 11:00:31,0,158.223.122.45,100,156,1,2026-01-15 11:00:31,R_8qOHFfXnCopu0O8,,,,,51.4781,-0.0279,qr,EN,B10,2,3,3,3,3,3,3,3,3,3,3,3,0,,2,,,,
2026-01-15 10:57:55,2026-01-15 11:00:34,0,158.223.122.171,100,159,1,2026-01-15 11:00:35,R_2FQ7GKLopN3u6Va,,,,,51.4781,-0.0279,qr,EN,B12,2,3,2,1,2,2,2,2,1,2,2,2,1,"I tried to remember the first and second letter on each word, only remembering the first 7 words. ",2,,,,
2026-01-15 10:57:29,2026-01-15 11:00:46,0,158.223.122.101,100,196,1,2026-01-15 11:00:46,R_28GndaW2ZwntGQv,,,,,51.4781,-0.0279,qr,EN,B11,2,8,1,1,1,1,1,1,2,1,2,1,0,Repeated the words as a I read them,1,,,,
2026-01-15 10:57:52,2026-01-15 11:01:49,0,158.223.122.92,100,236,1,2026-01-15 11:01:49,R_8laZNwWIGQJSfmJ,,,,,51.4781,-0.0279,qr,EN,B5,2,9,2,2,2,2,2,2,2,2,2,2,2,"Put words in scenarios or pair them together to make more sense. Chair in the river, flower book",1,,,,
2026-01-15 10:56:53,2026-01-15 11:02:40,0,172.224.227.19,100,347,1,2026-01-15 11:02:41,R_2s1maCvaNuFIU8z,,,,,51.5081,-0.1278,qr,EN,B13,2,7,1,1,1,1,3,3,,2,2,2,0,"Repeating ",1,,,,
2026-01-15 11:07:35,2026-01-15 11:09:15,0,172.226.0.94,100,100,1,2026-01-15 11:09:16,R_8oOWnVsiq7Vl5wR,,,,,51.5081,-0.1278,qr,EN,"B4 ",2,2,2,2,2,2,2,2,2,2,2,2,0,No,2,,,,
2026-01-15 11:07:28,2026-01-15 11:10:25,0,158.223.122.77,100,176,1,2026-01-15 11:10:25,R_82XtgKeCyQPyPIE,,,,,51.4781,-0.0279,qr,EN,B3,2,8,2,2,2,2,2,2,2,2,2,2,0,using songs to remember (rhymes and some of the words linked to a song I was listening to in the morning),1,,,,
2026-01-15 10:38:31,2026-01-15 11:41:01,0,82.132.212.189,100,3750,1,2026-01-15 11:41:02,R_2rCapeunUfTPOud,,,,,51.4659,-0.2117,qr,EN,9,1,8,,,,,,,,,,,0,tried grouping the words together,1,,,,
2026-01-15 11:40:01,2026-01-15 11:41:04,0,78.86.132.115,100,62,1,2026-01-15 11:41:05,R_20DlgCEFRkXdIeU,,,,,53.2558,-1.4292,qr,EN,A7,1,3,1,1,1,2,2,2,2,2,2,2,3,"Repeated each word 3 times ",1,,,,
2026-01-15 10:58:09,2026-01-15 11:46:51,0,158.223.122.136,100,2922,1,2026-01-15 11:46:52,R_8luC9R5q4pBQox7,,,,,51.4781,-0.0279,qr,EN,B9,2,6,3,3,3,3,3,3,3,3,3,3,0,,1,,,,
