StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,participant_id,lab_room,sleep_hours,sleep_quality_1,caffeine_today,exercise_week,screen_estimate,mood_pre_1,energy_pre_1,stress_pre_1,tipi_1,tipi_2,tipi_3,tipi_4,tipi_5,tipi_6,tipi_7,tipi_8,tipi_9,tipi_10,age,gender,handedness,vision,pid,lab,word,music
2026-01-15 10:42:09,2026-01-15 10:45:08,0,172.226.134.64,100,179,1,2026-01-15 10:45:09,R_8CIW36198Fh2Lnu,,,,,51.5081,-0.1278,qr,EN,1,3,1,"5 hours ",3,0,2x,8hrs,3,4,9,4,3,5,5,5,4,6,4,3,4,,1,2,1,,,,
2026-01-15 10:38:21,2026-01-15 10:45:09,0,158.223.122.101,100,408,1,2026-01-15 10:45:09,R_2oYJ6vHRon5Smka,,,,,51.4781,-0.0279,qr,EN,1,B11,2,5,2,0,3,10,7,3,2,6,4,5,5,5,3,6,6,4,5,19,2,1,1,,,,
2026-01-15 10:38:15,2026-01-15 10:45:12,0,158.223.122.171,100,417,1,2026-01-15 10:45:13,R_2CrndXjv6szWry2,,,,,51.4781,-0.0279,qr,EN,1,"B12 ",2,"4 ",3,1,0,10,8,7,9,6,4,5,5,3,6,6,5,3,2,,1,1,2,,,,
2026-01-15 10:42:28,2026-01-15 10:45:17,0,158.223.122.211,100,168,1,2026-01-15 10:45:17,R_8rrKyFQqCxS6MuU,,,,,51.4781,-0.0279,qr,EN,1,1,1,7,3,0,0,7,5,4,7,6,5,4,1,7,1,5,2,5,1,18,1,1,1,,,,
2026-01-15 10:38:23,2026-01-15 10:45:26,0,82.132.214.23,100,423,1,2026-01-15 10:45:26,R_2f3mOGiaMk734f7,,,,,51.4659,-0.2117,qr,EN,1,,1,8,2,1,0,4,6,4,3,6,2,5,3,6,4,6,5,4,2,28,2,1,2,,,,
2026-01-15 10:37:28,2026-01-15 10:45:52,0,158.223.122.77,100,504,1,2026-01-15 10:45:53,R_2p4X7s5gamAVII1,,,,,51.4781,-0.0279,qr,EN,1,B3,2,5.5,2,0,3,7,4,3,7,7,5,3,7,5,5,7,5,1,2,18,1,1,1,,,,
2026-01-15 10:42:05,2026-01-15 10:46:29,0,172.226.0.90,100,264,1,2026-01-15 10:46:29,R_8PgrIPHpHu0O4LL,,,,,51.5081,-0.1278,qr,EN,1,A2,1,6,4,0,1,14,7,6,9,3,5,3,4,7,7,6,4,6,4,23,1,1,2,,,,
2026-01-15 10:40:43,2026-01-15 10:47:28,0,172.224.227.16,100,404,1,2026-01-15 10:47:28,R_248AhJcLfeNuDsi,,,,,51.5081,-0.1278,qr,EN,1,,2,5,3,0,20,8,9,7,5,3,4,5,3,5,6,6,4,4,3,,1,1,1,,,,
2026-01-15 10:42:24,2026-01-15 10:47:57,0,82.132.212.189,100,333,1,2026-01-15 10:47:58,R_8UNLAtBKOLbiKNX,,,,,51.4659,-0.2117,qr,EN,1,A9,1,5.5,3,1,1,"12 ",7,6,5,5,4,5,6,6,4,5,4,4,4,21,3,1,1,,,,
2026-01-15 10:42:31,2026-01-15 10:48:10,0,78.86.132.115,100,338,1,2026-01-15 10:48:10,R_84OlPMwx2wa0vD3,,,,,53.2558,-1.4292,qr,EN,1,A7,1,8,4,2,4,9,5,3,5,3,4,5,6,4,3,5,5,4,4,21,1,1,2,,,,
2026-01-15 10:45:08,2026-01-15 10:48:27,0,104.28.40.135,100,199,1,2026-01-15 10:48:27,R_22gN5FY7ynCdnXm,,,,,51.3904,-0.0992,qr,EN,1,5,1,,5,2,1,8,10,8,2,4,5,5,3,5,6,6,3,5,4,,1,1,1,,,,
2026-01-15 10:45:59,2026-01-15 10:49:53,0,148.252.133.198,100,233,1,2026-01-15 10:49:53,R_2c1RPUw2mEIJtOF,,,,,51.4964,-0.1224,qr,EN,1,B8,2,4,3,0,6,4,6,2,2,6,5,5,5,3,3,5,5,3,2,18,1,1,,,,,
2026-01-15 10:43:53,2026-01-15 10:51:28,0,158.223.122.189,100,455,1,2026-01-15 10:51:28,R_2HOmYdzVmqB3Inm,,,,,51.4781,-0.0279,qr,EN,1,B7,2,8.5,4,0,0,12,7,4,3,2,2,4,5,4,6,6,3,3,4,19,1,1,1,,,,
2026-01-15 10:42:43,2026-01-15 10:57:59,0,158.223.122.102,100,916,1,2026-01-15 10:57:59,R_2nxsTrt7focozrY,,,,,51.4781,-0.0279,qr,EN,1,,2,6,3,1,"2 hours ","6 hours ",5,5,3,,,5,5,6,4,7,3,5,3,,1,1,1,,,,
2026-01-15 11:41:31,2026-01-15 11:45:10,0,172.226.0.91,100,219,1,2026-01-15 11:45:11,R_81RRfHlc5XOADCs,,,,,51.5081,-0.1278,qr,EN,1,A10,1,8,3,1,5,7,6,5,6,4,4,5,7,5,4,6,3,5,2,21,1,1,1,,,,
